product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date,quantity
51,Cetirizine Hydrochloride,Meditex,26809,70429,Site Furnishings,10/5/2023,50.0
52,Ibuprofen,Cardivex,26636,44454,Drilled Shafts,8/2/2024,32.0
53,LEVOFLOXACIN,Neuravex,22766,61696,Landscaping & Irrigation,10/1/2023,16.0
54,HAWAIIAN Tropic,Tranquilix,11442,79076,Termite Control,4/11/2024,50.0
55,zaleplon,Cardivex,15742,72989,Sitework & Site Utilities,5/12/2024,39.0
56,Sertraline Hydrochloride,Immunora,24021,64122,Granite Surfaces,8/19/2024,41.0
57,Pramipexole Dihydrochloride,Theraflow,20571,38883,Prefabricated Aluminum Metal Canopies,8/9/2024,16.0
58,equate daytime nitetime,Healixor,15842,85374,"Doors, Frames & Hardware",4/19/2024,16.0
59,Metoprolol succinate,Symbionix,28107,85939,Granite Surfaces,11/1/2023,16.0
60,Minocin,Vivora,18417,62804,EIFS,1/11/2024,16.0
61,equaline triple antibiotic,Immunora,28669,46694,Epoxy Flooring,10/13/2023,43.0
