product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date,quantity
61,equaline triple antibiotic,Immunora,28669,46694,Epoxy Flooring,10/13/2023,43.0
62,CLARINS BB Skin Perfecting Cream SPF 25 Tint 00,Pharmora,21056,32610,Electrical and Fire Alarm,6/5/2024,28.0
63,Dexamethasone sodium phosphate,Vivora,17310,58477,Marlite Panels (FED),3/3/2024,18.0
64,Famotidine,Neuravex,20816,47123,HVAC,4/25/2024,32.0
65,CapCof,Neuravex,25469,45464,Casework,12/15/2023,50.0
66,Olanzapine and Fluoxetine,Meditex,27384,43631,Elevator,8/25/2023,15.0
67,RANITIDINE,Tranquilix,15076,34559,Glass & Glazing,3/5/2024,37.0
68,Hydroxyzine Pamoate,Meditex,19212,37282,Elevator,4/12/2024,39.0
69,JEUNCELL Hair restorer and Hair Growth Solution,Tranquilix,17812,42254,Drilled Shafts,2/6/2024,32.0
70,Oral Analgesic,Tranquilix,13879,87841,Painting & Vinyl Wall Covering,10/21/2023,28.0
71,Lorazepam,Pharmora,21285,33952,Ornamental Railings,3/20/2024,34.0
