product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date,quantity
31,Stoko Refresh,Theraflow,29471,50973,Roofing (Metal),11/3/2023,42.0
32,Bisoprolol Fumarate and Hydrochlorothiazide,Meditex,12887,59290,RF Shielding,5/11/2024,49.0
33,Fentanyl Citrate,Cardivex,20146,52195,Roofing (Metal),6/2/2024,25.0
34,daytime pe nitetime,Immunora,21168,74701,Landscaping & Irrigation,7/1/2024,18.0
35,Ideal Flawless,Cardivex,12014,50497,Electrical and Fire Alarm,11/28/2023,37.0
36,Anticoagulant Citrate Dextrose A,Theraflow,14033,41735,Structural and Misc Steel (Fabrication),4/20/2024,43.0
37,Levothyroxine Sodium,Pharmora,28444,53959,Glass & Glazing,1/22/2024,39.0
38,RHIZOPUS ARRHIZUS VAR ARRHIZUS,Cardivex,17741,45924,Ornamental Railings,12/19/2023,50.0
39,LARIN Fe 1/20,Tranquilix,13745,78579,Epoxy Flooring,5/5/2024,37.0
40,voriconazole,Tranquilix,17278,55211,Painting & Vinyl Wall Covering,11/30/2023,42.0
41,Metronidazole,Theraflow,14475,36278,HVAC,12/31/2023,32.0
