product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date,quantity
21,Dilaudid,Meditex,15399,38550,EIFS,10/23/2023,37.0
22,SKIN CAVIAR CONCEALER FOUNDATION SUNSCREEN SPF 15 - Soleil Peche,Symbionix,16707,65311,Site Furnishings,7/7/2024,33.0
23,AGE INTERVENTION DUALITY,Meditex,20626,59041,Retaining Wall and Brick Pavers,3/24/2024,28.0
24,VESIcare,Meditex,12360,76383,Curb & Gutter,7/29/2024,49.0
25,TOPIRAMATE,Theraflow,19535,34134,Granite Surfaces,8/13/2024,37.0
26,Panace 40 (Number 65),Symbionix,28106,43546,Structural & Misc Steel Erection,8/18/2024,25.0
27,Antibacterial Foaming Hand Cleanser,Neuravex,12912,51968,Drywall & Acoustical (MOB),12/27/2023,39.0
28,Diclofenac,Immunora,27647,99869,Ornamental Railings,5/13/2024,33.0
29,Aurum 6,Tranquilix,13941,59946,"Doors, Frames & Hardware",11/25/2023,28.0
30,CLOMIPRAMINE HYDROCHLORIDE,Immunora,25311,33256,EIFS,5/31/2024,16.0
31,Stoko Refresh,Theraflow,29471,50973,Roofing (Metal),11/3/2023,42.0
