product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date,quantity
91,Cut Care Benzalkonium Chloride Antiseptic,Neuravex,14415,33794,"Temp Fencing, Decorative Fencing and Gates",3/11/2024,16.0
92,NARAMIN,Theraflow,10601,56452,Waterproofing & Caulking,5/26/2024,39.0
93,Methotrexate,Tranquilix,21217,67335,Wall Protection,1/1/2024,15.0
94,Ofloxacin,Tranquilix,20618,72779,Waterproofing & Caulking,7/12/2024,39.0
95,Skin Corrective BB Cream Broad Spectrum SPF15 Sunscreen,Symbionix,22087,34922,Fire Sprinkler System,6/16/2024,43.0
96,Pramipexole Dihydrochloride,Tranquilix,11471,94823,Painting & Vinyl Wall Covering,7/6/2024,42.0
97,ANTI-AGING CONCEALER FACE EYES SUNSCREEN SPF 20 Shade 30,Theraflow,29200,44714,Drywall & Acoustical (FED),10/3/2023,28.0
98,Allergy Medicine,Symbionix,14031,88871,Fire Sprinkler System,3/25/2024,28.0
99,Night Time Original,Meditex,10632,73580,Overhead Doors,3/8/2024,38.0
100,Secura Protective,Tranquilix,29436,84270,Electrical and Fire Alarm,8/31/2023,16.0
