product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date,quantity
11,Freshscent Antibacterial Deodorant,Theraflow,19876,33584,Glass & Glazing,3/22/2024,42.0
12,IBUPROFEN,Pharmora,20366,30780,Asphalt Paving,2/27/2024,16.0
13,Clonidine Hydrochloride,Immunora,20887,50546,Curb & Gutter,10/17/2023,16.0
14,Veil Fluid Makeup Sable,Pharmora,26055,95656,Waterproofing & Caulking,5/11/2024,43.0
15,Softlips Peach Mango,Immunora,28202,39644,Curb & Gutter,7/27/2024,16.0
16,FENTANYL,Symbionix,15479,31682,Termite Control,3/31/2024,50.0
17,Quetiapine fumarate,Pharmora,24035,41115,Marlite Panels (FED),7/31/2024,39.0
18,SuperSmile Professional,Symbionix,21590,63519,Structural and Misc Steel (Fabrication),9/6/2023,15.0
19,QUDEXY,Healixor,21135,77511,Electrical and Fire Alarm,7/29/2024,43.0
20,Hawaiian Tropic Island Sport SPF 30,Immunora,22367,62531,Masonry & Precast,6/18/2024,38.0
21,Dilaudid,Meditex,15399,38550,EIFS,10/23/2023,37.0
