product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date,quantity
1,SUDAN GRASS POLLEN,Immunora,10360,38429,Fire Protection,6/24/2024,38.0
2,Argentum Vesica urinaria 8/5 Special Order,Tranquilix,11908,87101,Prefabricated Aluminum Metal Canopies,5/10/2024,35.0
3,PHENDIMETRAZINE TARTRATE,Neuravex,18493,85161,Landscaping & Irrigation,12/22/2023,34.0
4,Rivastigmine Tartrate,Pharmora,17005,39953,Plumbing & Medical Gas,12/25/2023,33.0
5,Motion Sickness Relief,Immunora,16743,44127,Sitework & Site Utilities,11/12/2023,16.0
6,MDSolarSciences SPF40 No Touch Body,Symbionix,12463,86773,Framing (Wood),11/8/2023,38.0
7,Bahia Grass,Theraflow,19143,68066,Glass & Glazing,4/24/2024,50.0
8,Ropinirole Hydrochloride,Pharmora,28766,50538,Curb & Gutter,6/1/2024,47.0
9,Tramadol Hydrochloride and Acetaminophen,Tranquilix,17970,64938,Rebar & Wire Mesh Install,1/30/2024,43.0
10,Waterless Anti-Bacterial Hand Cleanser,Tranquilix,17729,89518,Asphalt Paving,2/16/2024,39.0
11,Freshscent Antibacterial Deodorant,Theraflow,19876,33584,Glass & Glazing,3/22/2024,42.0
