product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date,quantity
81,nifedipine,Neuravex,26654,87074,Asphalt Paving,8/6/2024,18.0
82,Parasite Detox,Symbionix,16630,90727,Masonry & Precast,3/25/2024,16.0
83,sotalol hydrochloride,Healixor,13632,79309,Curb & Gutter,9/16/2023,39.0
84,Antibacterial Hand Towelettes,Vivora,26516,96160,Construction Clean and Final Clean,7/9/2024,32.0
85,Trazodone Hydrochloride,Meditex,22757,51845,Marlite Panels (FED),7/14/2024,33.0
86,Cefdinir,Pharmora,28115,81590,Fire Protection,5/8/2024,16.0
87,Topical 60 Sec Sodium Fluoride,Symbionix,29483,70193,Electrical,4/7/2024,43.0
88,Meloxicam,Cardivex,24311,81415,EIFS,5/24/2024,50.0
89,Geum urbanum e rad. 5,Tranquilix,21695,50081,EIFS,5/24/2024,41.0
90,Levonorgestrel,Neuravex,15518,52423,Glass & Glazing,12/30/2023,50.0
91,Cut Care Benzalkonium Chloride Antiseptic,Neuravex,14415,33794,"Temp Fencing, Decorative Fencing and Gates",3/11/2024,16.0
