product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date,quantity
71,Lorazepam,Pharmora,21285,33952,Ornamental Railings,3/20/2024,34.0
72,NATURAL SUN AQ SUPER PERFECT SUN,Cardivex,15066,79835,Ornamental Railings,6/10/2024,47.0
73,Lamotrigine,Healixor,27742,62948,Soft Flooring and Base,6/15/2024,18.0
74,LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,Vivora,25121,43705,Construction Clean and Final Clean,2/18/2024,49.0
75,sinus pressure and congestion relief,Pharmora,22052,93149,Waterproofing & Caulking,6/3/2024,16.0
76,Lamotrigine,Healixor,20302,73135,HVAC,12/15/2023,29.0
77,KETOCONAZOLE,Neuravex,28105,85734,Curb & Gutter,3/18/2024,37.0
78,SEROQUEL,Theraflow,13518,72475,Framing (Wood),12/28/2023,33.0
79,Galantamine,Meditex,26789,56816,Casework,4/14/2024,32.0
80,Nighttime Sleep Easy,Immunora,10399,43404,Masonry & Precast,12/5/2023,29.0
81,nifedipine,Neuravex,26654,87074,Asphalt Paving,8/6/2024,18.0
