
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,19,17,4283,2022-02-09
1,2,9,19,7876,2022-04-17
2,3,12,15,7221,2023-01-19
3,4,67,4,8578,2023-09-25
4,5,22,16,2226,2024-07-04
5,6,90,12,880,2023-10-24
6,7,39,6,5110,2023-11-07
7,8,60,3,7722,2022-03-12
8,9,17,6,598,2023-12-15
9,10,48,19,2158,2022-02-01
10,11,46,15,5580,2023-03-14
11,12,81,16,125,2024-02-22
12,13,68,6,1541,2022-05-19
13,14,14,9,4327,2022-04-03
14,15,89,13,6292,2022-06-04
15,16,77,1,998,2023-07-26
16,17,64,12,6370,2024-08-08
17,18,2,5,6239,2023-05-07
18,19,14,5,1678,2023-03-27
19,20,90,10,7673,2024-01-22
20,21,59,5,1602,2024-01-26
21,22,40,6,8033,2024-06-16
22,23,17,4,538,2022-08-20
23,24,88,16,8792,2023-10-04
24,25,86,8,419,2022-12-20
25,26,55,7,6696,2023-12-13
26,27,98,18,8506,2023-08-12
27,28,66,15,1366,2022-11-08
28,29,63,9,4128,2022-08-04
29,30,60,8,9215,2024-03-27
30,31,1,14,6039,2024-12-04
31,32,76,10,4232,2023-06-01
32,33,49,11,922,2022-12-10
33,34,26,6,7309,2022-12-06
34,35,84,16,1259,2022-10-15
35,36,70,9,6704,2024-12-24
36,37,14,9,7574,2024-03-09
37,38,53,16,3351,2024-10-11
38,39,17,10,1860,2022-07-09
39,40,85,18,3748,2022-08-07
40,41,54,19,5133,2023-10-13
41,42,2,4,3171,2024-02-08
42,43,58,12,5445,2023-11-04
43,44,8,7,9884,2024-10-03
44,45,6,15,1659,2024-11-15
45,46,86,9,4331,2023-02-06
46,47,96,7,9959,2022-08-09
47,48,94,15,2838,2024-08-23
48,49,81,18,7919,2024-12-23
49,50,17,1,8739,2022-02-01
50,51,53,4,4313,2023-08-14
51,52,1,3,2364,2023-06-08
52,53,65,14,3763,2023-01-21
53,54,78,9,748,2022-10-09
54,55,7,15,6963,2022-08-15
55,56,36,1,1227,2022-11-19
56,57,31,18,4848,2023-06-21
57,58,8,17,3758,2024-05-08
58,59,28,19,8866,2024-03-25
59,60,13,9,1636,2023-12-06
60,61,93,13,3999,2022-04-22
61,62,20,7,3488,2024-08-25
62,63,45,8,8216,2023-08-04
63,64,16,9,3208,2022-05-11
64,65,54,1,2862,2022-11-21
65,66,99,9,2921,2024-12-04
66,67,36,4,9155,2022-01-13
67,68,93,4,261,2023-06-20
68,69,57,9,122,2023-12-09
69,70,64,5,1994,2024-08-10
70,71,85,5,9007,2023-08-10
71,72,49,4,7456,2023-05-01
72,73,80,11,2308,2022-06-24
73,74,11,15,6293,2023-12-20
74,75,36,13,8132,2022-02-21
75,76,12,10,1362,2023-10-06
76,77,21,2,2927,2023-03-16
77,78,89,8,8570,2022-08-11
78,79,92,2,4754,2023-01-24
79,80,52,10,8976,2022-12-02
80,81,64,7,6709,2024-02-12
81,82,73,10,4651,2022-11-22
82,83,32,2,7010,2022-01-08
83,84,4,1,5605,2023-01-05
84,85,67,17,9412,2023-06-20
85,86,84,2,5609,2022-02-10
86,87,41,15,6942,2022-05-23
87,88,78,9,2716,2024-03-24
88,89,94,18,1536,2023-04-05
89,90,15,14,9582,2024-05-21
90,91,2,4,9079,2022-11-26
91,92,24,8,3344,2022-09-04
92,93,12,11,975,2023-03-25
93,94,23,14,6914,2024-11-21
94,95,100,13,899,2022-02-11
95,96,31,4,9328,2024-06-26
96,97,22,13,766,2022-09-03
97,98,42,4,7357,2023-10-06
98,99,2,3,1516,2023-06-18
99,100,68,10,1272,2022-04-09
