
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,46,14,6644,2023-06-09
1,2,82,18,3421,2024-08-11
2,3,2,18,9502,2023-12-23
3,4,88,19,1772,2023-06-08
4,5,34,13,9773,2022-07-24
5,6,32,7,7099,2024-11-19
6,7,26,15,1022,2024-09-10
7,8,6,10,5874,2024-07-07
8,9,6,2,2536,2022-09-02
9,10,84,3,4971,2024-05-13
10,11,53,3,4814,2022-06-08
11,12,26,20,8669,2024-12-19
12,13,49,3,5233,2022-12-03
13,14,43,13,7302,2022-08-03
14,15,52,13,9837,2023-08-11
15,16,31,12,9924,2023-02-25
16,17,52,11,6734,2024-01-24
17,18,16,9,4482,2024-02-18
18,19,61,19,730,2023-10-07
19,20,73,6,5250,2023-01-26
20,21,70,17,9333,2023-08-05
21,22,21,3,5076,2022-04-20
22,23,91,9,7896,2023-05-08
23,24,99,15,2716,2024-03-13
24,25,3,7,3640,2024-04-15
25,26,87,18,8606,2023-02-21
26,27,76,9,5433,2022-11-24
27,28,51,20,9903,2024-12-26
28,29,67,13,7747,2023-04-01
29,30,88,13,4170,2023-10-15
30,31,60,12,5747,2023-02-25
31,32,7,3,6727,2023-03-12
32,33,19,1,9438,2023-01-02
33,34,12,20,9843,2023-08-16
34,35,50,10,3722,2024-12-08
35,36,6,2,7381,2022-01-19
36,37,6,8,836,2022-06-01
37,38,97,1,108,2024-03-05
38,39,95,2,3348,2024-12-25
39,40,89,2,1117,2023-02-16
40,41,49,6,4069,2022-09-06
41,42,39,11,3700,2024-06-01
42,43,31,9,6926,2022-10-08
43,44,78,16,5020,2022-11-08
44,45,45,5,1368,2023-07-09
45,46,28,19,2836,2023-12-17
46,47,16,1,2259,2023-11-03
47,48,39,7,9573,2024-08-20
48,49,42,13,1328,2024-02-26
49,50,95,3,2989,2022-11-21
50,51,54,16,4440,2024-06-12
51,52,72,2,8821,2022-07-10
52,53,91,20,142,2023-04-16
53,54,58,3,6384,2024-08-11
54,55,45,1,9194,2024-04-22
55,56,54,20,7595,2023-05-20
56,57,9,3,6304,2022-10-24
57,58,65,18,7572,2023-01-13
58,59,68,20,3383,2023-06-22
59,60,11,18,9206,2024-10-20
60,61,58,20,8438,2022-04-03
61,62,9,9,3228,2024-12-05
62,63,58,15,5666,2023-03-06
63,64,39,5,9741,2024-05-11
64,65,68,19,9000,2023-05-23
65,66,93,13,2968,2024-05-08
66,67,100,15,7458,2022-02-13
67,68,32,20,6399,2022-12-23
68,69,93,15,8813,2022-03-23
69,70,2,11,7116,2024-12-15
70,71,94,1,4098,2023-06-09
71,72,20,16,3658,2022-09-27
72,73,31,3,7423,2023-06-18
73,74,48,11,8700,2024-12-09
74,75,34,20,4958,2022-03-07
75,76,83,11,4429,2023-07-01
76,77,3,8,5205,2024-10-13
77,78,67,20,4341,2024-05-27
78,79,17,1,5264,2022-01-10
79,80,65,6,8835,2022-12-05
80,81,4,4,9162,2023-10-15
81,82,32,3,9480,2022-02-20
82,83,73,16,2951,2024-11-07
83,84,9,4,8021,2024-11-25
84,85,47,19,4215,2022-06-03
85,86,65,6,1830,2022-04-24
86,87,9,11,3160,2022-07-24
87,88,8,4,5243,2024-07-03
88,89,46,12,7865,2023-04-17
89,90,1,2,8317,2022-02-10
90,91,7,10,1631,2023-03-21
91,92,51,9,2419,2024-09-14
92,93,46,4,1632,2024-10-05
93,94,91,4,106,2024-08-17
94,95,27,6,7339,2024-12-24
95,96,68,3,4306,2022-06-07
96,97,58,13,3072,2023-08-19
97,98,51,11,927,2024-12-10
98,99,45,1,9196,2022-02-07
99,100,30,6,8547,2023-05-11
