
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,52,6,3233,2024-09-10
1,2,61,5,1581,2023-12-01
2,3,95,6,4796,2024-02-18
3,4,41,19,2513,2023-06-27
4,5,9,11,3027,2022-03-16
5,6,99,19,7549,2022-01-08
6,7,51,7,3505,2023-10-20
7,8,22,10,7591,2023-01-18
8,9,28,13,1789,2022-11-27
9,10,34,13,4071,2024-03-12
10,11,65,18,3381,2022-04-04
11,12,38,1,6147,2023-04-25
12,13,56,17,6517,2023-01-10
13,14,50,20,7156,2024-07-25
14,15,40,6,5612,2024-09-26
15,16,28,3,6646,2024-05-26
16,17,82,15,4404,2022-01-18
17,18,15,15,6549,2023-10-17
18,19,73,9,7359,2024-01-20
19,20,63,14,1503,2024-01-06
20,21,91,19,8650,2024-12-06
21,22,67,1,2418,2024-01-26
22,23,2,12,1433,2024-07-09
23,24,90,20,8712,2024-12-27
24,25,39,15,2373,2022-11-02
25,26,17,18,6679,2022-03-16
26,27,37,15,1480,2024-05-08
27,28,32,2,8854,2022-03-13
28,29,99,18,3140,2022-01-16
29,30,100,8,4254,2024-11-10
30,31,16,3,8459,2022-01-09
31,32,97,17,5996,2022-10-15
32,33,29,9,8713,2022-03-20
33,34,49,13,5667,2024-05-23
34,35,28,16,5972,2022-09-26
35,36,38,3,248,2024-03-02
36,37,2,19,5004,2024-01-10
37,38,86,18,1777,2024-03-14
38,39,32,17,7603,2022-10-12
39,40,75,14,5904,2023-12-09
40,41,58,18,3502,2022-05-13
41,42,62,3,6036,2024-07-25
42,43,16,9,6622,2024-02-11
43,44,91,11,2513,2022-05-09
44,45,23,20,6005,2022-06-26
45,46,3,8,8508,2022-05-12
46,47,31,4,6711,2022-12-22
47,48,13,7,6257,2023-03-15
48,49,19,11,7406,2024-07-10
49,50,89,1,9419,2023-01-18
50,51,66,10,6579,2023-09-03
51,52,21,12,1327,2022-04-11
52,53,59,5,3292,2022-06-12
53,54,38,18,772,2023-01-20
54,55,57,18,9157,2024-12-24
55,56,40,13,8026,2023-04-06
56,57,27,20,6316,2024-02-08
57,58,95,16,5549,2022-09-05
58,59,12,8,2594,2022-12-13
59,60,52,7,5540,2022-12-10
60,61,54,11,9188,2023-10-09
61,62,15,5,5539,2023-07-21
62,63,86,10,4101,2022-05-05
63,64,87,12,1490,2022-01-13
64,65,84,3,534,2022-02-13
65,66,93,1,3374,2022-12-11
66,67,35,10,6756,2023-01-02
67,68,43,5,5442,2024-07-11
68,69,53,1,1575,2023-05-08
69,70,83,11,1869,2024-06-25
70,71,76,6,7027,2022-08-25
71,72,64,10,4468,2023-10-15
72,73,83,19,1351,2023-09-13
73,74,12,1,7090,2022-02-02
74,75,46,13,7694,2024-03-15
75,76,29,3,7857,2022-04-04
76,77,13,4,7253,2024-10-14
77,78,53,7,4402,2023-09-01
78,79,46,17,4739,2023-06-17
79,80,5,13,1737,2023-09-10
80,81,93,1,612,2023-10-24
81,82,18,9,611,2023-10-20
82,83,7,14,7119,2023-11-02
83,84,90,8,9423,2023-07-10
84,85,23,7,5850,2022-09-06
85,86,95,10,9988,2022-01-01
86,87,58,5,3607,2022-06-14
87,88,50,2,524,2024-09-12
88,89,32,9,797,2023-01-01
89,90,54,13,5356,2022-10-27
90,91,23,4,3894,2024-09-14
91,92,73,1,2277,2022-02-21
92,93,67,9,2549,2024-07-25
93,94,71,18,2343,2022-08-26
94,95,91,8,1729,2022-03-16
95,96,99,10,4866,2022-09-18
96,97,38,12,9290,2022-07-11
97,98,79,13,8230,2022-10-24
98,99,39,18,6902,2023-09-25
99,100,99,6,8077,2023-08-22
