
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,81,6,1436,2022-08-07
1,2,23,17,7547,2024-04-22
2,3,14,13,8963,2024-08-09
3,4,99,12,7983,2022-08-13
4,5,5,8,3066,2022-02-20
5,6,32,12,7824,2024-07-25
6,7,42,20,2803,2022-05-22
7,8,75,20,934,2023-07-19
8,9,100,12,3121,2024-07-22
9,10,5,13,8918,2024-04-22
10,11,29,1,7354,2023-06-07
11,12,90,2,924,2023-05-09
12,13,3,10,3376,2022-12-01
13,14,50,20,399,2024-04-22
14,15,81,17,3877,2023-05-17
15,16,32,16,6386,2024-09-27
16,17,77,1,1142,2023-03-09
17,18,55,5,1029,2023-12-01
18,19,24,18,1859,2022-05-17
19,20,28,5,2478,2022-01-02
20,21,15,10,424,2022-05-14
21,22,26,8,3353,2024-05-25
22,23,83,12,5778,2022-12-05
23,24,92,15,8079,2022-12-04
24,25,99,17,2193,2024-01-13
25,26,76,2,5274,2023-02-05
26,27,10,12,3501,2023-03-08
27,28,21,9,7869,2023-07-17
28,29,72,10,6441,2022-08-13
29,30,7,10,4796,2024-07-06
30,31,48,4,5195,2022-06-26
31,32,14,10,3882,2024-02-12
32,33,34,12,5997,2023-06-25
33,34,34,16,861,2022-10-16
34,35,71,16,9656,2024-06-27
35,36,77,5,3085,2024-04-12
36,37,24,7,7501,2022-03-11
37,38,56,9,1685,2022-10-09
38,39,36,8,2601,2023-03-22
39,40,58,10,9771,2022-06-20
40,41,51,19,6604,2023-03-26
41,42,95,14,3207,2023-07-02
42,43,7,14,9667,2024-06-19
43,44,49,14,3995,2023-10-11
44,45,35,4,3708,2022-04-18
45,46,79,20,8458,2024-04-01
46,47,62,12,6008,2024-06-23
47,48,20,4,9289,2023-10-19
48,49,90,12,7661,2023-09-06
49,50,63,5,730,2023-12-04
50,51,31,3,589,2024-07-06
51,52,97,14,2313,2023-04-22
52,53,80,13,1221,2023-03-16
53,54,85,4,2365,2023-11-07
54,55,44,20,4660,2024-07-13
55,56,49,8,4528,2022-10-01
56,57,6,11,5782,2022-03-01
57,58,43,3,4438,2022-04-09
58,59,5,17,3135,2023-02-15
59,60,56,15,7683,2024-03-20
60,61,93,12,1386,2022-08-15
61,62,3,11,4252,2023-05-26
62,63,27,16,3298,2023-08-07
63,64,73,7,6834,2024-07-18
64,65,51,18,9397,2024-02-09
65,66,100,1,9763,2024-06-09
66,67,54,4,821,2023-11-20
67,68,49,9,8382,2024-05-20
68,69,41,16,2453,2022-06-05
69,70,37,1,9520,2022-02-16
70,71,2,5,2791,2022-03-24
71,72,15,6,9529,2022-12-04
72,73,88,2,6474,2023-03-07
73,74,68,8,8180,2022-05-08
74,75,63,4,2624,2023-09-15
75,76,52,19,4670,2023-12-14
76,77,23,4,5902,2024-02-13
77,78,28,2,8808,2024-03-04
78,79,38,6,2073,2023-01-27
79,80,27,20,6365,2024-02-15
80,81,48,16,6987,2023-05-09
81,82,21,5,4508,2023-08-26
82,83,75,5,9518,2024-11-22
83,84,4,12,5024,2022-01-19
84,85,68,11,9054,2023-07-22
85,86,45,17,6812,2023-06-03
86,87,58,13,8147,2023-10-06
87,88,33,17,8176,2023-12-04
88,89,47,8,2182,2022-06-25
89,90,27,4,9852,2022-02-21
90,91,24,7,9576,2024-05-16
91,92,88,11,1951,2024-01-03
92,93,4,4,8192,2022-12-20
93,94,14,13,3425,2022-07-04
94,95,74,10,7080,2023-01-16
95,96,26,1,1170,2022-04-08
96,97,86,13,5970,2024-05-07
97,98,65,11,5774,2024-12-27
98,99,94,2,7768,2023-06-26
99,100,37,4,8131,2023-03-13
