
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,48,14,9099,2024-07-20
1,2,37,12,3516,2023-02-04
2,3,47,14,4733,2023-01-16
3,4,3,5,9956,2022-05-06
4,5,33,1,6663,2024-08-20
5,6,20,8,9307,2023-01-24
6,7,89,18,2211,2024-10-24
7,8,65,16,1806,2023-10-25
8,9,34,18,2844,2022-07-24
9,10,64,7,9838,2023-03-26
10,11,15,3,8845,2022-11-02
11,12,57,15,5799,2022-10-08
12,13,16,2,6805,2022-08-18
13,14,13,7,2159,2024-06-22
14,15,58,9,1268,2023-08-10
15,16,25,18,1710,2023-10-02
16,17,61,16,9549,2024-08-14
17,18,88,16,4117,2024-10-07
18,19,93,4,8352,2022-03-23
19,20,42,16,3445,2023-06-07
20,21,13,14,4679,2022-04-04
21,22,85,2,5423,2023-06-12
22,23,25,2,2433,2023-05-22
23,24,98,8,2735,2023-01-25
24,25,67,3,7996,2023-05-11
25,26,78,20,3741,2024-02-10
26,27,76,4,5135,2023-05-09
27,28,80,9,2791,2023-09-10
28,29,77,14,2946,2023-05-02
29,30,39,16,9152,2024-10-02
30,31,29,11,3142,2023-12-14
31,32,1,10,3900,2023-10-23
32,33,56,7,7497,2024-01-02
33,34,37,20,7181,2024-12-11
34,35,60,3,4438,2024-08-24
35,36,38,2,6975,2023-01-02
36,37,24,4,5927,2023-01-23
37,38,29,2,2142,2022-07-23
38,39,11,2,1908,2023-03-26
39,40,31,9,9968,2022-01-17
40,41,35,15,6019,2024-07-20
41,42,66,18,9208,2022-06-24
42,43,78,17,4803,2022-12-05
43,44,80,4,5239,2023-02-04
44,45,51,3,9662,2022-08-24
45,46,40,17,9593,2022-02-27
46,47,50,18,1388,2024-02-05
47,48,19,3,1176,2023-02-18
48,49,4,19,4962,2023-07-06
49,50,36,7,9044,2022-05-11
50,51,45,17,9246,2022-10-09
51,52,53,20,3570,2024-09-18
52,53,86,11,8575,2023-03-24
53,54,79,9,7467,2024-10-27
54,55,92,10,2457,2024-07-21
55,56,16,5,2844,2023-06-13
56,57,31,11,3904,2022-08-18
57,58,36,15,6387,2024-06-05
58,59,10,8,1384,2023-10-01
59,60,47,10,2809,2022-11-19
60,61,39,17,7576,2023-06-13
61,62,95,15,3508,2023-04-20
62,63,100,4,5160,2023-06-10
63,64,88,20,5488,2022-05-23
64,65,80,18,5593,2024-08-02
65,66,82,14,6712,2023-12-21
66,67,72,19,9165,2022-05-02
67,68,22,7,1268,2022-03-08
68,69,51,13,9305,2023-06-08
69,70,18,9,2837,2024-06-19
70,71,34,9,2494,2022-08-17
71,72,47,4,5344,2024-05-06
72,73,76,12,1677,2024-01-18
73,74,7,1,2491,2023-01-15
74,75,58,12,6924,2022-11-05
75,76,36,3,9150,2024-06-25
76,77,32,12,9927,2024-01-19
77,78,31,12,1110,2023-10-10
78,79,66,18,6469,2024-03-06
79,80,10,17,1431,2022-02-09
80,81,47,8,8689,2022-02-20
81,82,20,1,489,2022-10-01
82,83,48,7,1573,2023-11-17
83,84,2,7,9674,2024-02-12
84,85,94,2,1689,2024-07-08
85,86,26,16,6361,2024-01-12
86,87,33,19,6029,2024-11-22
87,88,53,5,7224,2022-10-16
88,89,99,19,1647,2022-06-09
89,90,31,15,2265,2023-01-10
90,91,6,2,9924,2024-01-10
91,92,9,10,8846,2023-10-08
92,93,72,1,2673,2023-10-20
93,94,50,3,8271,2024-03-19
94,95,60,9,4825,2023-09-04
95,96,25,20,3518,2024-08-04
96,97,75,8,2994,2024-05-18
97,98,60,14,7431,2024-11-01
98,99,70,11,751,2024-02-13
99,100,90,6,551,2022-02-24
