
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,7,3,8194,2023-08-21
1,2,61,8,7065,2023-06-12
2,3,5,20,1309,2023-01-23
3,4,24,15,5615,2023-02-13
4,5,36,2,8740,2023-12-14
5,6,47,4,8337,2024-06-06
6,7,52,6,4206,2024-11-24
7,8,28,20,4137,2023-01-01
8,9,48,11,9310,2023-04-22
9,10,4,16,2233,2023-09-10
10,11,38,15,1272,2023-01-27
11,12,60,20,2453,2022-05-16
12,13,83,6,3628,2024-05-11
13,14,51,9,1488,2022-08-08
14,15,6,15,1272,2022-07-27
15,16,23,20,4773,2023-12-22
16,17,22,9,9645,2022-01-11
17,18,61,12,2490,2024-11-07
18,19,2,8,2479,2024-10-07
19,20,24,2,7840,2022-12-03
20,21,89,1,243,2023-11-19
21,22,72,7,1815,2023-09-08
22,23,27,6,8939,2024-10-13
23,24,44,2,1736,2024-09-09
24,25,52,10,6053,2022-12-04
25,26,5,3,5829,2024-03-06
26,27,8,11,3546,2024-09-17
27,28,73,5,267,2023-02-08
28,29,73,5,1907,2023-05-14
29,30,6,18,9316,2024-02-17
30,31,80,19,479,2024-05-23
31,32,40,14,4261,2024-10-21
32,33,59,9,4570,2022-01-04
33,34,39,10,8133,2024-03-17
34,35,94,9,8921,2023-02-21
35,36,8,5,5322,2023-11-11
36,37,40,9,5464,2022-12-22
37,38,27,8,4611,2023-07-15
38,39,51,20,1059,2024-09-14
39,40,14,6,3188,2023-06-04
40,41,55,8,533,2023-04-02
41,42,72,10,844,2023-06-15
42,43,11,9,399,2024-01-07
43,44,34,12,5296,2022-12-17
44,45,98,2,2568,2022-08-26
45,46,6,9,4514,2024-01-01
46,47,89,15,8094,2024-03-23
47,48,99,15,2874,2023-06-27
48,49,28,3,4576,2022-10-18
49,50,62,7,5609,2022-02-21
50,51,99,14,9167,2022-06-04
51,52,15,15,5073,2023-08-22
52,53,58,2,925,2023-10-24
53,54,96,18,805,2022-11-13
54,55,91,6,7215,2024-12-18
55,56,12,3,7501,2023-11-06
56,57,6,9,4993,2024-07-11
57,58,57,11,8279,2023-09-07
58,59,58,7,2690,2022-03-10
59,60,97,18,7734,2022-01-26
60,61,39,4,6818,2023-09-04
61,62,23,12,3083,2024-09-07
62,63,48,2,5007,2023-07-12
63,64,90,2,3897,2023-06-05
64,65,4,13,9958,2022-12-13
65,66,23,19,9545,2022-05-14
66,67,89,7,7317,2024-12-20
67,68,90,14,1932,2024-11-16
68,69,84,6,5757,2023-10-24
69,70,73,19,8619,2024-06-08
70,71,36,3,1165,2022-02-08
71,72,62,8,3153,2023-02-14
72,73,65,10,3618,2023-01-16
73,74,83,15,8488,2022-05-22
74,75,96,7,2056,2022-09-15
75,76,41,5,785,2022-12-19
76,77,73,20,5172,2024-04-06
77,78,41,2,635,2022-12-09
78,79,75,17,7477,2024-10-16
79,80,12,1,2107,2022-09-18
80,81,80,16,7613,2022-02-05
81,82,84,6,2835,2024-10-14
82,83,78,3,8512,2022-01-10
83,84,84,9,1262,2023-06-03
84,85,24,7,7333,2024-10-18
85,86,1,7,5679,2024-04-23
86,87,6,12,7205,2024-08-26
87,88,56,9,5808,2024-06-24
88,89,73,11,5336,2022-05-10
89,90,12,8,1076,2023-05-16
90,91,50,17,1050,2023-10-19
91,92,47,4,7829,2022-07-22
92,93,97,5,8412,2024-02-27
93,94,8,10,8360,2022-05-25
94,95,8,18,4599,2023-03-08
95,96,73,9,2462,2024-03-12
96,97,11,2,3196,2024-05-25
97,98,24,9,4947,2022-07-16
98,99,67,20,4068,2024-06-02
99,100,33,9,3851,2022-01-15
