
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,70,19,6069,2022-04-13
1,2,97,4,7380,2023-08-24
2,3,25,16,6812,2023-02-17
3,4,10,11,6962,2022-11-13
4,5,39,19,2874,2023-08-10
5,6,100,8,7926,2023-03-08
6,7,93,8,5013,2023-01-13
7,8,63,16,1749,2024-07-12
8,9,68,2,1273,2023-09-08
9,10,99,14,4152,2022-05-03
10,11,69,18,6611,2022-04-27
11,12,59,8,5892,2024-06-10
12,13,52,4,5853,2024-10-26
13,14,62,18,4696,2023-04-14
14,15,98,9,9918,2024-04-02
15,16,68,17,3048,2023-12-15
16,17,76,16,6601,2022-07-08
17,18,87,13,7334,2022-08-19
18,19,84,9,7836,2024-09-12
19,20,97,7,4189,2023-02-16
20,21,62,20,416,2024-07-13
21,22,74,4,7637,2023-02-15
22,23,44,14,8418,2023-12-10
23,24,13,9,7951,2023-12-16
24,25,79,5,4095,2023-12-12
25,26,65,10,8846,2024-01-16
26,27,33,5,3131,2023-08-26
27,28,44,19,8545,2024-01-18
28,29,20,16,8286,2022-06-06
29,30,78,12,8371,2023-04-14
30,31,78,7,3742,2022-08-17
31,32,85,11,7801,2022-08-03
32,33,53,20,7112,2024-05-16
33,34,19,3,8929,2023-07-04
34,35,91,19,7130,2024-06-08
35,36,92,2,3441,2024-01-18
36,37,79,8,3720,2022-09-05
37,38,59,2,9165,2023-11-24
38,39,27,12,2983,2024-07-11
39,40,54,4,7134,2023-04-09
40,41,62,14,9048,2022-07-16
41,42,47,12,2818,2024-07-07
42,43,74,3,8675,2023-01-19
43,44,8,3,4338,2024-02-02
44,45,13,9,9910,2024-10-21
45,46,35,9,2613,2022-10-11
46,47,35,19,2678,2022-10-05
47,48,58,16,4763,2024-04-08
48,49,68,11,9102,2022-03-04
49,50,12,11,2508,2023-01-26
50,51,3,14,3902,2024-08-14
51,52,22,17,6336,2024-04-21
52,53,25,12,3913,2024-07-06
53,54,25,14,9861,2023-02-10
54,55,2,1,8402,2022-09-24
55,56,85,4,6925,2024-07-05
56,57,7,1,9058,2022-06-24
57,58,43,16,8553,2024-03-12
58,59,43,6,4219,2024-05-08
59,60,47,5,8010,2024-03-03
60,61,87,6,4442,2022-06-12
61,62,48,11,5843,2022-01-18
62,63,32,15,3831,2024-09-15
63,64,67,6,6195,2024-02-05
64,65,48,20,3469,2022-05-20
65,66,34,8,8366,2024-11-18
66,67,34,8,239,2023-03-01
67,68,23,15,3860,2024-08-21
68,69,76,8,7580,2023-04-19
69,70,34,11,2560,2022-10-03
70,71,71,6,6362,2024-01-12
71,72,16,16,3471,2024-04-16
72,73,11,2,2571,2023-12-27
73,74,1,1,7420,2024-07-11
74,75,19,20,1928,2024-08-24
75,76,46,16,1574,2022-07-16
76,77,89,5,1739,2024-11-21
77,78,97,4,2798,2024-04-27
78,79,14,19,1627,2023-07-19
79,80,74,11,3512,2024-01-21
80,81,2,17,9084,2023-03-27
81,82,64,2,9216,2022-07-03
82,83,3,13,9842,2023-09-10
83,84,100,3,5350,2022-09-26
84,85,67,11,9861,2024-03-06
85,86,16,13,2247,2024-07-07
86,87,75,5,8307,2024-05-10
87,88,17,13,7729,2024-09-20
88,89,10,2,5957,2023-01-03
89,90,72,2,2947,2022-11-09
90,91,63,2,1389,2023-09-11
91,92,18,6,4915,2023-02-07
92,93,57,9,4460,2024-08-24
93,94,73,14,1442,2023-01-27
94,95,77,8,1345,2024-04-10
95,96,73,10,3919,2024-12-23
96,97,92,20,9164,2023-04-25
97,98,43,15,6077,2022-02-14
98,99,39,8,2015,2022-05-20
99,100,79,18,2903,2022-01-14
