
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,7,10,4621,2022-03-25
1,2,60,5,1984,2023-10-24
2,3,54,2,6752,2024-03-24
3,4,97,5,9988,2022-02-13
4,5,86,8,1103,2024-01-17
5,6,39,10,310,2024-11-22
6,7,90,3,2754,2023-03-04
7,8,21,18,8595,2022-03-27
8,9,38,19,1997,2023-11-19
9,10,66,20,1150,2022-12-26
10,11,78,1,7074,2023-02-26
11,12,52,4,7974,2024-07-05
12,13,23,6,4413,2022-04-25
13,14,54,14,8341,2023-05-21
14,15,10,3,7817,2023-06-05
15,16,15,12,5417,2024-04-23
16,17,78,15,2896,2024-03-06
17,18,92,6,3838,2022-04-26
18,19,63,8,1727,2023-06-27
19,20,91,4,2057,2024-05-12
20,21,17,14,4163,2023-04-13
21,22,29,4,4920,2023-03-07
22,23,15,7,6612,2024-08-07
23,24,43,2,2326,2024-01-04
24,25,67,14,6306,2022-06-26
25,26,82,7,7458,2022-02-20
26,27,66,1,7733,2022-01-16
27,28,72,13,4189,2023-07-06
28,29,3,9,1407,2023-10-08
29,30,5,4,1430,2024-12-04
30,31,80,14,6351,2022-12-13
31,32,62,5,8599,2023-01-02
32,33,75,7,9878,2023-11-13
33,34,9,14,6464,2024-02-19
34,35,57,12,3263,2023-10-08
35,36,29,5,3654,2023-09-17
36,37,59,11,4544,2024-04-11
37,38,63,17,9270,2023-10-18
38,39,98,19,6925,2023-11-09
39,40,15,16,7133,2022-12-26
40,41,79,12,6048,2022-11-11
41,42,100,18,1350,2024-03-10
42,43,53,12,6440,2022-01-24
43,44,30,8,7262,2023-10-01
44,45,12,17,6756,2024-01-25
45,46,15,14,563,2022-09-08
46,47,32,7,7943,2023-06-02
47,48,44,15,6704,2022-09-21
48,49,66,17,9047,2022-07-12
49,50,94,19,3043,2022-08-18
50,51,72,17,6617,2024-09-04
51,52,83,14,6739,2022-04-24
52,53,20,1,4725,2024-09-15
53,54,24,9,2114,2022-10-09
54,55,69,12,3975,2023-08-21
55,56,54,13,9265,2022-03-04
56,57,40,16,6760,2024-01-13
57,58,84,12,4984,2022-11-05
58,59,29,10,9882,2024-06-20
59,60,22,14,252,2024-01-27
60,61,2,16,1591,2022-01-17
61,62,97,19,2518,2024-01-15
62,63,25,14,6979,2023-08-05
63,64,81,4,4002,2024-11-03
64,65,90,12,5711,2023-10-14
65,66,52,2,8558,2022-04-14
66,67,81,13,3932,2024-04-11
67,68,27,15,4407,2022-09-21
68,69,39,14,7674,2023-04-25
69,70,40,4,9026,2023-07-26
70,71,70,13,7272,2024-09-19
71,72,26,16,6491,2023-12-08
72,73,3,10,8100,2024-12-07
73,74,99,16,4639,2024-04-08
74,75,98,16,2758,2024-11-06
75,76,99,16,3552,2023-12-06
76,77,57,13,7074,2022-12-21
77,78,45,11,9035,2023-06-19
78,79,54,18,3966,2022-08-03
79,80,22,16,1455,2022-03-04
80,81,52,5,7420,2022-06-24
81,82,73,5,7070,2023-07-03
82,83,10,3,7851,2023-04-06
83,84,32,10,1313,2023-12-24
84,85,88,6,6435,2023-10-02
85,86,27,8,8633,2022-10-08
86,87,64,18,1092,2023-11-25
87,88,43,7,6634,2024-12-08
88,89,38,9,8093,2024-02-08
89,90,100,18,2138,2024-04-20
90,91,96,2,963,2024-11-12
91,92,40,20,554,2023-12-20
92,93,96,19,9838,2024-12-22
93,94,60,11,3008,2024-10-05
94,95,3,9,3134,2023-05-23
95,96,79,19,7587,2022-10-15
96,97,78,14,2594,2024-06-25
97,98,15,5,5231,2023-06-27
98,99,84,14,5685,2022-05-13
99,100,15,6,2136,2022-02-12
