
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,7,5,1814,2022-06-08
1,2,42,9,3891,2022-11-19
2,3,11,10,2121,2024-02-14
3,4,60,12,6941,2023-10-09
4,5,13,15,6920,2022-08-18
5,6,50,11,1848,2022-02-18
6,7,29,12,6537,2023-06-01
7,8,95,11,1831,2022-03-11
8,9,46,9,4752,2023-12-23
9,10,16,2,5564,2022-01-06
10,11,18,14,6226,2022-09-07
11,12,11,13,6344,2022-04-08
12,13,63,10,3849,2023-07-02
13,14,72,1,5625,2023-07-16
14,15,96,12,2008,2023-10-24
15,16,39,14,3860,2024-10-17
16,17,21,1,4848,2022-09-10
17,18,24,10,240,2022-12-05
18,19,79,6,3362,2022-08-22
19,20,27,17,7165,2023-05-11
20,21,44,13,4221,2022-05-07
21,22,14,9,6205,2024-04-04
22,23,92,6,1241,2023-01-07
23,24,80,3,8717,2023-09-08
24,25,64,17,3927,2022-03-18
25,26,49,7,9081,2023-08-18
26,27,99,20,2220,2022-01-09
27,28,68,10,6422,2023-10-02
28,29,38,17,8652,2024-08-06
29,30,58,2,5771,2022-01-26
30,31,57,14,3524,2024-01-19
31,32,90,13,7426,2023-04-16
32,33,78,2,9395,2022-03-23
33,34,90,6,6730,2022-03-19
34,35,62,9,9322,2022-04-19
35,36,91,12,268,2023-09-25
36,37,66,16,5800,2023-02-23
37,38,22,19,7880,2022-10-25
38,39,86,4,9285,2023-02-18
39,40,54,8,3887,2024-01-06
40,41,74,7,7875,2024-05-13
41,42,56,13,2103,2024-11-19
42,43,55,18,2732,2022-05-20
43,44,36,19,4913,2022-03-25
44,45,31,8,2141,2022-06-05
45,46,96,17,7921,2023-02-17
46,47,20,14,6428,2022-05-21
47,48,1,1,7524,2023-03-27
48,49,39,5,1408,2024-11-20
49,50,90,11,5706,2022-07-26
50,51,46,19,669,2022-06-26
51,52,100,2,2309,2023-05-01
52,53,40,16,7512,2024-05-09
53,54,73,18,8168,2024-10-07
54,55,91,15,7182,2023-12-22
55,56,38,20,8734,2024-11-27
56,57,60,12,2980,2023-12-15
57,58,59,14,4257,2023-06-25
58,59,40,20,5325,2023-12-15
59,60,57,4,2185,2023-01-19
60,61,52,4,8864,2022-12-11
61,62,97,19,4428,2024-12-14
62,63,69,18,6339,2023-07-05
63,64,11,11,952,2023-07-26
64,65,1,15,376,2023-03-25
65,66,46,17,3289,2024-06-27
66,67,74,3,5031,2022-09-12
67,68,59,10,7698,2023-12-03
68,69,57,6,8764,2024-02-16
69,70,93,16,4630,2023-09-17
70,71,41,19,8755,2022-03-04
71,72,51,5,8677,2024-10-02
72,73,9,17,1440,2024-08-01
73,74,34,7,9258,2024-05-17
74,75,56,11,4792,2023-11-20
75,76,84,1,8518,2023-09-25
76,77,64,6,4826,2022-07-07
77,78,81,8,4279,2023-03-07
78,79,57,12,3947,2022-07-02
79,80,64,13,4904,2023-09-04
80,81,73,7,2695,2022-02-19
81,82,90,20,1080,2022-08-06
82,83,15,10,2308,2023-05-06
83,84,34,1,4527,2023-04-17
84,85,3,7,5287,2024-05-19
85,86,33,13,4720,2022-05-07
86,87,10,15,3512,2022-03-26
87,88,72,17,7680,2023-09-02
88,89,19,4,7647,2023-11-01
89,90,82,1,2632,2024-05-08
90,91,58,2,1271,2024-07-27
91,92,1,3,8043,2024-02-19
92,93,26,20,8813,2024-11-24
93,94,10,11,3501,2024-01-23
94,95,4,1,4009,2022-09-15
95,96,41,14,937,2023-02-12
96,97,72,1,4252,2024-02-12
97,98,9,13,2681,2023-05-03
98,99,6,15,1096,2024-02-17
99,100,95,16,6155,2022-09-07
