
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,64,10,609,2023-02-08
1,2,77,20,4581,2023-08-07
2,3,99,3,8121,2024-06-01
3,4,100,6,415,2022-01-14
4,5,37,9,8583,2022-12-12
5,6,35,1,5404,2023-10-24
6,7,63,14,8333,2024-01-23
7,8,37,2,599,2024-02-04
8,9,63,13,6143,2022-07-07
9,10,31,14,2299,2022-04-14
10,11,96,8,8307,2022-12-06
11,12,11,18,5299,2022-01-04
12,13,34,2,5933,2022-07-13
13,14,20,3,2314,2023-11-04
14,15,93,4,6343,2023-09-18
15,16,80,7,2421,2022-09-04
16,17,97,4,3196,2022-01-18
17,18,61,18,3582,2023-02-16
18,19,76,6,4443,2022-03-12
19,20,37,10,1808,2022-05-13
20,21,71,17,590,2024-08-21
21,22,50,15,274,2024-09-11
22,23,44,3,1341,2024-06-07
23,24,96,7,1675,2024-09-26
24,25,70,6,8995,2022-06-09
25,26,93,6,2181,2022-10-13
26,27,38,20,3631,2022-10-08
27,28,79,18,7012,2023-09-21
28,29,99,7,9648,2023-08-05
29,30,91,6,1324,2022-01-23
30,31,91,3,853,2023-06-04
31,32,96,12,9505,2022-11-21
32,33,33,1,4965,2023-03-22
33,34,46,13,3634,2024-11-18
34,35,62,4,3996,2024-12-15
35,36,51,2,6379,2023-01-27
36,37,13,16,7384,2024-07-10
37,38,77,12,7287,2022-05-23
38,39,67,16,3712,2024-02-26
39,40,50,17,8685,2022-06-11
40,41,50,17,9341,2024-05-16
41,42,21,14,6219,2023-03-19
42,43,5,6,9372,2022-11-21
43,44,61,5,6437,2022-04-27
44,45,52,9,2510,2023-02-22
45,46,99,14,7283,2023-07-15
46,47,5,3,2722,2023-09-18
47,48,80,1,2684,2024-07-09
48,49,65,1,5203,2024-01-20
49,50,37,13,785,2023-10-14
50,51,83,1,8250,2024-11-14
51,52,94,17,9363,2022-11-01
52,53,32,4,691,2024-03-04
53,54,37,5,1966,2023-06-21
54,55,72,6,6691,2024-03-02
55,56,27,13,7444,2022-01-14
56,57,68,5,5810,2023-11-14
57,58,49,11,7990,2022-03-14
58,59,87,15,9663,2022-03-23
59,60,57,8,7896,2022-06-02
60,61,4,8,6099,2023-11-03
61,62,44,17,5077,2024-08-22
62,63,89,3,1771,2024-11-22
63,64,63,10,3301,2022-12-21
64,65,16,6,260,2024-07-08
65,66,74,20,5169,2022-02-15
66,67,55,6,8346,2022-04-09
67,68,33,15,2583,2023-09-08
68,69,73,5,9294,2024-05-22
69,70,92,14,6271,2024-09-05
70,71,56,7,3797,2023-12-03
71,72,33,10,4786,2023-07-09
72,73,21,5,4164,2024-01-19
73,74,31,12,5145,2022-08-18
74,75,59,18,9149,2024-07-20
75,76,24,3,4043,2022-05-15
76,77,100,16,2721,2024-06-20
77,78,17,6,9759,2022-08-06
78,79,70,3,4223,2023-10-26
79,80,29,10,3465,2024-06-02
80,81,43,4,4750,2022-05-23
81,82,71,7,8649,2023-05-20
82,83,12,15,7652,2024-09-25
83,84,98,18,9325,2022-04-06
84,85,90,4,5603,2024-01-13
85,86,9,10,663,2024-06-19
86,87,56,16,3568,2023-06-14
87,88,7,14,4404,2024-11-26
88,89,96,15,2624,2022-03-19
89,90,54,8,6320,2023-04-26
90,91,63,14,6786,2024-02-09
91,92,86,12,3938,2022-11-26
92,93,25,1,949,2022-07-18
93,94,75,14,1960,2023-04-05
94,95,5,11,4032,2022-09-02
95,96,28,19,1737,2023-11-13
96,97,24,5,2685,2023-02-02
97,98,58,9,6678,2022-09-27
98,99,79,19,315,2022-11-13
99,100,89,15,8053,2022-11-17
