
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,54,16,8276,2024-06-20
1,2,1,12,7968,2024-02-01
2,3,94,17,3757,2024-11-14
3,4,10,18,9084,2022-08-13
4,5,75,14,5015,2023-04-05
5,6,10,16,9004,2024-01-12
6,7,46,12,7659,2022-02-14
7,8,51,6,8837,2023-08-04
8,9,65,17,4405,2022-08-08
9,10,58,12,4628,2024-04-18
10,11,91,10,5170,2024-01-23
11,12,21,13,2852,2023-07-06
12,13,77,5,1581,2022-04-06
13,14,37,13,4148,2022-04-24
14,15,57,12,1354,2024-02-21
15,16,31,14,444,2024-08-04
16,17,1,19,9263,2023-06-27
17,18,30,1,6438,2023-05-04
18,19,75,6,3299,2023-09-04
19,20,99,7,8529,2022-08-19
20,21,1,1,1861,2022-07-17
21,22,57,19,4054,2022-08-12
22,23,3,1,1619,2024-04-13
23,24,53,14,1282,2024-08-19
24,25,57,11,7186,2022-04-08
25,26,33,8,8406,2022-04-19
26,27,3,17,3351,2022-06-11
27,28,88,20,1818,2024-11-11
28,29,29,12,8605,2022-05-09
29,30,14,5,1162,2022-08-03
30,31,62,8,926,2022-08-09
31,32,57,16,2934,2023-12-27
32,33,42,5,4122,2022-01-12
33,34,40,20,9347,2022-07-02
34,35,22,19,9957,2022-09-12
35,36,45,1,2647,2022-03-09
36,37,16,14,8798,2024-01-18
37,38,15,18,5470,2022-01-13
38,39,12,2,6311,2023-05-18
39,40,34,18,7673,2022-03-15
40,41,39,10,1506,2023-12-20
41,42,80,12,9202,2024-08-08
42,43,59,2,5359,2023-07-24
43,44,16,10,1829,2023-01-08
44,45,58,14,5394,2024-10-23
45,46,11,15,6061,2022-10-02
46,47,89,3,6649,2023-07-02
47,48,4,20,8511,2024-10-09
48,49,85,15,4828,2024-05-02
49,50,60,7,2446,2022-05-04
50,51,57,10,4942,2023-09-08
51,52,80,2,4550,2024-12-02
52,53,71,15,6368,2024-06-16
53,54,44,8,359,2022-05-18
54,55,53,9,6756,2023-02-01
55,56,59,3,6399,2022-02-18
56,57,25,12,8093,2023-04-22
57,58,52,8,7589,2023-09-09
58,59,18,14,9396,2023-06-07
59,60,49,18,9120,2023-05-18
60,61,88,14,4163,2024-12-03
61,62,21,5,2166,2023-02-24
62,63,61,20,5360,2024-08-16
63,64,82,12,9260,2023-03-18
64,65,37,19,5119,2022-08-12
65,66,94,6,2230,2022-07-18
66,67,86,7,5352,2024-10-22
67,68,92,17,2830,2022-04-02
68,69,39,19,6700,2024-03-04
69,70,47,18,6512,2024-01-20
70,71,33,20,3430,2024-10-13
71,72,70,4,7071,2024-02-11
72,73,72,2,4540,2023-01-04
73,74,70,10,203,2022-08-05
74,75,3,10,8290,2024-07-16
75,76,46,13,1862,2024-08-25
76,77,19,20,7792,2022-04-13
77,78,87,19,5545,2023-05-24
78,79,55,20,332,2022-05-24
79,80,54,3,8135,2023-04-17
80,81,16,9,9541,2022-09-21
81,82,46,11,2840,2022-04-26
82,83,9,2,9812,2023-04-14
83,84,22,9,3012,2023-11-13
84,85,33,14,9042,2024-02-03
85,86,57,3,4266,2022-03-26
86,87,91,14,2857,2022-01-12
87,88,31,17,5701,2023-02-12
88,89,10,10,8494,2023-11-27
89,90,14,10,729,2024-03-03
90,91,1,10,3306,2024-03-26
91,92,34,17,1403,2023-04-17
92,93,53,4,8640,2022-03-03
93,94,19,7,2512,2024-02-15
94,95,81,11,1620,2024-03-10
95,96,18,19,8516,2022-05-16
96,97,12,10,7586,2023-12-27
97,98,70,14,659,2022-04-08
98,99,50,14,1542,2023-09-23
99,100,19,6,9070,2023-05-22
